   93.000   29.000    0.000    3.797	1
   93.000   28.500    0.000    3.429	0
   93.000   28.000    0.000    3.341	0
   93.500   32.500    0.000    3.352	0
   93.500   32.000    0.000    3.322	1
   93.500   31.500    0.000    2.920	1
   93.500   31.000    0.000    3.353	1
   93.500   30.500    0.000    3.492	1
   93.500   30.000    0.000    3.243	1
   93.500   29.500    0.000    3.320	1
   93.500   29.000    0.000    3.421	1
   93.500   28.500    0.000    3.363	0
   93.500   28.000    0.000    3.332	0
   94.000   32.500    0.000    3.350	0
   94.000   32.000    0.000    3.248	1
   94.000   31.500    0.000    3.433	1
   94.000   31.000    0.000    3.512	1
   94.000   30.500    0.000    3.132	1
   94.000   30.000    0.000    3.077	1
   94.000   29.500    0.000    3.602	1
   94.000   29.000    0.000    3.377	1
   94.000   28.500    0.000    3.345	0
   94.000   28.000    0.000    3.316	0
   94.500   32.500    0.000    3.329	0
   94.500   32.000    0.000    3.137	1
   94.500   31.500    0.000    3.469	1
   94.500   31.000    0.000    3.405	1
   94.500   30.500    0.000    3.330	1
   94.500   30.000    0.000    3.410	1
   94.500   29.500    0.000    3.165	1
   94.500   29.000    0.000    3.310	1
   94.500   28.500    0.000    3.336	0
   94.500   28.000    0.000    3.306	0
   95.000   32.500    0.000    3.314	0
   95.000   32.000    0.000    3.129	1
   95.000   31.500    0.000    3.376	1
   95.000   31.000    0.000    3.460	1
   95.000   30.500    0.000    3.350	1
   95.000   30.000    0.000    3.196	1
   95.000   29.500    0.000    2.855	1
   95.000   29.000    0.000    3.281	1
   95.000   28.500    0.000    3.329	0
   95.000   28.000    0.000    3.312	0
   95.500   32.500    0.000    3.274	0
   95.500   32.000    0.000    3.114	0
   95.500   31.500    0.000    3.082	1
   95.500   31.000    0.000    3.378	1
   95.500   30.500    0.000    3.314	1
   95.500   30.000    0.000    3.289	1
   95.500   29.500    0.000    3.396	1
   95.500   29.000    0.000    3.361	1
   95.500   28.500    0.000    3.345	0
   95.500   28.000    0.000    3.335	0
   96.000   32.500    0.000    3.243	0
   96.000   32.000    0.000    3.174	0
   96.000   31.500    0.000    3.211	1
   96.000   31.000    0.000    3.427	1
   96.000   30.500    0.000    3.288	1
   96.000   30.000    0.000    3.487	1
   96.000   29.500    0.000    3.467	1
   96.000   29.000    0.000    3.378	1
   96.000   28.500    0.000    3.370	0
   96.000   28.000    0.000    3.364	0
   96.500   32.500    0.000    3.244	0
   96.500   32.000    0.000    3.221	0
   96.500   31.500    0.000    3.282	1
   96.500   31.000    0.000    3.294	1
   96.500   30.500    0.000    3.240	1
